Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
LevelMechanics/CANNON_FACTORY_NOTIFICATION	LevelMechanics	You got [C1]{0}[C0] from the Tower Assembly System!	Das Turmbausystem hat „[C1]{0}[C0]“ produziert!	¡Recibes [C1]{0}[C0] del sistema de montaje de torre!	Vous avez reçu [C1]{0}[C0] de l'Assembleur de tours !	Hai ottenuto [C1]{0}[C0] dal sistema di assemblaggio delle torri!	タワー組立装置の効果で\n[C1]{0}[C0]を獲得！	타워 조립 시스템에서 [C1]{0}[C0] 카드를 받았습니다!	Otrzymałeś [C1]{0}[C0] z Systemu Montażu Wież!	Você recebeu [C1]{0}[C0] do Sistema de Montagem de Torres!	Вы получили [C1]{0}[C0] из системы сборки башен!	你从炮塔组装系统获得了[C1]{0}[C0]！	你從砲塔組裝系統獲得了[C1]{0}[C0]！
LevelMechanics/OVERCHARGE_CONDUIT	LevelMechanics	Overload Distribution System	Überlastverteilungssystem	Sistema de distribución de sobrecarga	Distributeur de survoltage	Sistema di distribuzione del sovraccarico	オーバーロード分配装置	과부하 분배 시스템	System Rozprowadzania Przeciążenia	Sistema de Distribuição de Sobrecarga	Система распределения перегрузки	过载分配系统	過載分配系統
LevelMechanics/OVERCHARGE_CONDUIT_DESC	LevelMechanics	When powered on, every 15 seconds in battle, this randomly grants [C1]OVERCHARGE[C0] to a tower in range that does not already have a buff card effect, greatly increasing its attack speed for 10 seconds.	Ist es aktiv, sorgt es im Kampf alle 15 Sek. für eine [C1]ÜBERLADUNG[C0] eines Turms in Reichweite, der nicht bereits den Effekt einer Stärkungskarte hat. Dadurch erhöht sich sein Angriffstempo 10 Sek. lang stark.	Cuando se activa, por cada 15 segundos en batalla, se aplica [C1]SOBRECARGA[C0] a una torre al alcance que aún no tenga un efecto de carta de mejora, lo que aumenta en gran medida su velocidad de ataque durante 10 segundos.	Branché, il octroie toutes les 15 s de la bataille [C1]SURVOLTAGE[C0] à une tour aléatoire à portée qui n'a pas encore d'effet de carte bonus, augmentant largement sa vitesse d'attaque pendant 10 s.	Quando viene attivato, ogni 15 secondi in battaglia, questo sistema conferisce casualmente [C1]SOVRACCARICO[C0] a una torre nel raggio d’azione che non abbia già l’effetto di una carta potenziamento, aumentando notevolmente la sua velocità d’attacco per 10 secondi.	作動しているバトル中、15秒ごとに範囲内の強化カード効果を受けていないランダムなタワーに[C1]「オーバーチャージ」[C0]を与え、10秒の間攻撃速度を大幅に上昇させる。	전력 공급 시, 전투 중 15초마다 사거리 안에 있는 버프 카드 효과가 없는 타워 하나에 무작위로 [C1]과충전[C0]을 부여해 10초 동안 공격 속도가 크게 증가합니다.	Gdy jest włączony, co 15 sekund podczas bitwy losowo przyznaje [C1]PRZEŁADOWANIE[C0] wieży w zasięgu, która nie ma jeszcze efektu karty wzmocnienia, znacznie zwiększając jej prędkość ataku na 10 sekund.	Quando energizado, a cada 15 segundos durante a batalha, concede aleatoriamente [C1]SOBRECARGA[C0] a uma torre ao alcance que não possua um efeito de carta de evolução, aumentando drasticamente sua velocidade de ataque por 10 segundos.	Пока активировано питание, каждые 15 секунд боя случайная башня в радиусе действия без активных эффектов от карт усиления получает статус [C1]СВЕРХЗАРЯДКА[C0], значительно повышающий ее скорость атаки на 10 секунд.	通电启动后，会在战斗中每15秒一次，随机对范围内没有强化卡效果的炮塔施放[C1]超载[C0]，让攻击速度大幅提高10秒。	通電啟動後，會在戰鬥中每15秒一次，隨機對範圍內沒有強化卡效果的砲塔施放[C1]超載[C0]，讓攻擊速度大幅提高10秒。
LevelMechanics/HUGE_FAN	LevelMechanics	Underground Ventilation System	Unterirdisches Lüftungssystem	Sistema de ventilación subterráneo	Ventilation souterraine	Sistema di ventilazione sotterraneo	地底換気装置	지하 환기 시스템	Podziemny System Wentylacyjny	Sistema de Ventilação Subterrâneo	Подземная вентиляция	地底通风系统	地底通風系統
LevelMechanics/HUGE_FAN_DESC	LevelMechanics	When powered on, this releases cold air from the snowy mountains, slowing monster movement and applying 2 stacks of [CHILL] per second to all monsters in range.	Ist es aktiv, setzt es kalte Luft aus verschneiten Bergen frei, die Monster in Reichweite verlangsamt und sie jede Sek. mit 2 Stapeln [CHILL] belegt.	Cuando se activa, se libera un aire frío de las montañas nevadas que ralentiza el movimiento de los monstruos y aplica 2 acumulaciones de [CHILL] por segundo a todos los monstruos al alcance.	Branchée, relâche de l'air glacial venu des montagnes, ralentissant les mouvements des monstres et appliquant 2 cumuls de [CHILL] à tous les monstres à portée chaque seconde.	Quando viene attivato, rilascia aria fredda dalle montagne innevate, rallentando il movimento dei mostri e applicando 2 accumuli di [CHILL] al secondo a tutti i mostri nel raggio d’azione.	作動している間、雪山の冷たい空気を放ち、範囲内の全モンスターの足を遅くしつつ毎秒2の[CHILL]スタックを与える。	전력 공급 시, 설산의 차가운 공기를 방출해 적들의 이동을 감속시키고 사거리 안에 있는 모든 적에게 매초 [CHILL] 2중첩을 부여합니다.	Gdy jest włączony, uwalnia zimne powietrze ze śnieżnych gór, spowalniając ruch potworów i nakładając 2 ładunki [CHILL] na sekundę na wszystkie potwory w zasięgu.	Quando energizado, libera o ar gelado das montanhas nevadas, reduzindo a velocidade de movimento dos monstros e aplicando 2 acúmulos de [CHILL] a todos os monstros ao alcance a cada segundo.	При активации обдает врагов морозным воздухом снежных вершин, замедляя их и накладывая по 2 заряда [CHILL] на всех монстров в радиусе действия каждую секунду.	通电启动后，会吹出雪山的寒冷气流影响怪物的移动速度，并且每秒对范围内的怪物堆叠2层[CHILL]。\n	通電啟動後，會吹出雪山的寒冷氣流影響怪物的移動速度，並且每秒對範圍內的怪物堆疊2層[CHILL]。\n
LevelMechanics/CORRUPTED_ALTAR	LevelMechanics	Corrupted Altar	Verdorbener Altar	Altar corrupto	Autel corrompu	Altare corrotto	腐敗の祭壇	타락한 제단	Skażony Ołtarz	Altar Corrompido	Оскверненный алтарь	腐化祭坛	腐化祭壇
LevelMechanics/CORRUPTED_ALTAR_DESC	LevelMechanics	At the end of each turn, randomly creates {0} Corrupted Tiles around it.	Am Ende jeder Runde erzeugt er {0} verdorbene Felder um ihn herum.	Al final de cada turno, crea aleatoriamente {0} casillas corruptas a su alrededor.	À la fin de chaque tour, crée aléatoirement {0} cases corrompues autour de lui.	Alla fine di ogni turno, crea casualmente {0} caselle corrotte intorno.	各ターン終了時、{0}個の腐敗タイルを付近のランダムな場所に出現させる。	턴 종료 시, 주변에 무작위로 타락한 타일 {0}개를 생성합니다.	Pod koniec każdej tury losowo tworzy wokół siebie {0} skażonych pól.	Ao fim de cada rodada, cria aleatoriamente {0} Casas Corrompidas ao seu redor.	В конце каждого хода случайным образом создает вокруг себя оскверненные клетки ({0} шт.).	每回合结束时，会随机在周围产生{0}个腐化格	每回合結束時，會隨機在周圍產生{0}個腐化格
LevelMechanics/TRAIN_STATION	LevelMechanics	Mine Cart Switch	Minenwagen-Schalter	Aguja de vagoneta	Interrupteur à wagonnets	Interruttore del carrello della miniera	トロッコスイッチ	광차 스위치	Zwrotnica Wagonika Górniczego	Interruptor do Carrinho de Mina	Перевод стрелок	列车开关	列車開關
LevelMechanics/TRAIN_STATION_DESC	LevelMechanics	When activated, you can place 2x2 Towers on the mine train, letting them charge forward along the tracks!	Ist er aktiv, lassen sich 2x2-Türme auf dem Minenzug aufstellen, die dann entlang der Gleise vorwärts fahren!	Cuando se activa, puedes colocar torres 2x2 sobre el tren de la mina, ¡por lo que podrás hacerlas avanzar por las vías!	Activé, vous permet de placer des tours 2x2 sur le train de la mine, qui fonce sur la voie ferrée !	Quando viene attivato, puoi posizionare torri 2x2 sul treno da miniera, permettendo loro di avanzare lungo i binari!	作動している間、トロッコに2×2タワーを設置し線路上を走らせられる。	활성화 시, 광차에 2x2 타워를 배치할 수 있으며, 트랙을 따라 움직일 수 있습니다!	Po aktywacji możesz umieścić wieże w układzie 2x2 na wagoniku górniczym, pozwalając im pędzić naprzód wzdłuż torów!	Quando ativado, você pode construir torres 2x2 sobre o trem da mina, que avança pelos trilhos em alta velocidade!	При активации позволяет ставить башни 2х2 прямо на шахтерский состав, который мчится вперед по рельсам!	启动之后，可以在矿坑列车上放置2x2炮塔，沿着轨道往前冲！	啟動之後，可以在礦坑列車上放置2x2砲塔，沿著軌道往前衝！
LevelMechanics/TRAP_FLAMEWELL	LevelMechanics	Flame Trap	Flammenfalle	Trampa de fuego	Piège à flammes	Trappola di fiamme	炎トラップ	불길 함정	Ognista Pułapka	Armadilha da Chama	Огненная ловушка	火焰陷阱	火焰陷阱
LevelMechanics/TRAP_FLAMEWELL_DESC	LevelMechanics	Monsters that pass through [BURN] for {0} seconds.	Steckt Monster {0} Sek. lang in [BURN].	Los monstruos que la atraviesan sufren [BURN] durante {0} segundos.	Les monstres qui le traversent subissent [BURN] pendant {0} s.	I mostri che la attraversano subiscono [BURN] per {0} secondi.	通過するモンスターが{0}秒間の[BURN]効果を受ける。	통과하는 적에게 {0}초 동안 [BURN] 효과를 적용합니다.	Potwory, które przez nią przejdą, otrzymują efekt [BURN] na {0} sekund.	Monstros que atravessam recebem [BURN] por {0} segundos.	Проходящие сквозь него монстры получают статус [BURN] на {0} секунд.	经过的怪物进入{0}秒[BURN]状态。	經過的怪物進入{0}秒[BURN]狀態。
LevelMechanics/ANCIENT_TOWER_FIREBALL	LevelMechanics	Ancient Fireball Tower	Uralter Feuerball-Turm	Torre ancestral bola de fuego	Tour boule de feu antique	Antica torre delle palle di fuoco	古代のファイアボールタワー	고대 화염구 타워	Starożytna Wieża Ogniowa	Torre Ancestral Bola de Fogo	Древняя башня огненных шаров	远古火球塔	遠古火球塔
LevelMechanics/ANCIENT_TOWER_FIREBALL_DESC	LevelMechanics	When activated, this launches bouncing fireballs that cause the struck tower and nearby towers to malfunction for {0} seconds.	Ist er aktiv, verschießt er hüpfende Feuerbälle, die bei getroffenen Türmen und Türmen in der Nähe {0} Sek. lang eine Fehlfunktion auslösen.	Cuando se activa, lanza bolas de fuego que rebotan. La torre afectada y las de alrededor interrumpen su funcionamiento durante {0} segundos.	Activée, lance des boules de feu rebondissantes qui mettent en panne la tour touchée et les tours proches pendant {0} s.	Quando viene attivata, lancia palle di fuoco rimbalzanti che causano il malfunzionamento della torre colpita e di quelle vicine per {0} secondi.	作動している間、飛び跳ねる火の玉を放ち、当たったタワーとその付近のタワーに{0}秒間の動作不良を発生させる。	활성화 시, 튕기는 화염구를 발사해 적중당한 타워와 주변 타워에 {0}초 동안 오작동을 일으킵니다.	Po aktywacji wystrzeliwuje odbijające się kule ognia, które powodują awarię trafionej wieży oraz pobliskich wież na {0} sekund.	Quando ativado, lança bolas de fogo ricocheteantes que causam falha por {0} segundos na torre atingida e nas torres próximas.	При активации выпускает прыгучие огненные шары, которые выводят из строя пораженную башню и соседние с ней постройки на {0} секунд.	启动之后会射出弹跳的火球，让被击中及周围的炮塔故障{0}秒。	啟動之後會射出彈跳的火球，讓被擊中及周圍的砲塔故障{0}秒。
LevelMechanics/ANCIENT_TOWER_SNIPER	LevelMechanics	Ancient Sniper Tower	Uralter Scharfschützen-Turm	Torre ancestral francotiradora	Tour sniper antique	Torre cecchino antica	古代のスナイパータワー	고대 저격 타워	Starożytna Wieża Snajperska	Torre Ancestral Sniper	Древняя снайперская башня	远古狙击塔	遠古狙擊塔
LevelMechanics/ANCIENT_TOWER_SNIPER_DESC	LevelMechanics	When activated, this shoots a powerful laser to attack towers in range, causing them to malfunction for {0} seconds.	Ist er aktiv, verschießt er einen leistungsstarken Laser auf Türme in Reichweite, die dadurch {0} Sek. lang eine Fehlfunktion erleiden.	Cuando se activa, dispara un potente láser para atacar a las torres al alcance e interrumpir su funcionamiento durante {0} segundos.	Activée, tire un puissant rayon laser qui attaque les tours à portée, et les fait tomber en panne pendant {0} s.	Quando viene attivata, spara un potente raggio laser per attaccare le torri nel raggio d'azione, causandone il malfunzionamento per {0} secondi.	作動している間、範囲内の攻撃タワーに強力なレーザーを放ち{0}秒間の動作不良を発生させる。	활성화 시, 사거리 안의 타워를 공격하는 강력한 레이저를 발사해 {0}초 동안 오작동을 일으킵니다.	Po aktywacji wystrzeliwuje potężny laser, aby zaatakować wieże w zasięgu, powodując ich awarię na {0} sekund.	Quando ativado, dispara um poderoso laser contra as torres ao alcance, causando falha por {0} segundos.	При активации бьет мощным лазером по башням в радиусе действия, выводя их из строя на {0} секунд.	启动之后会用强大的雷射攻击射程内的炮塔，让击中的炮塔故障{0}秒。	啟動之後會用強大的雷射攻擊射程內的砲塔，讓擊中的砲塔故障{0}秒。
